PRODUIT,CODE_MARQUE,NOM_MARQUE,CA_REF_NATIONALE,CA_NC_NATIONAL,CA_REF_CONNECT,CA_NC_CONNECT,DATE_DU_DERNIER_TARIF,NBR_MARQUES_REFERENTEES,NBR_OFFRES_HORS_OFFRES,TOUT_PARTOUT,MONTANT_OFFRE_100_957,MONTANT_OFFRE_200_957,MONTANT_OFFRE_300_957,MONTANT_OFFRE_100_612
46,5,Marchais,899,652,262,924,2016-12-05 ,9,4,13,15,17,4,10
47,6,Leclerc_electrique,815,684,662,114,2019-10-29 ,5,8,13,10,12,2,16
48,1,Schneider,670,448,338,377,2013-01-08 ,1,12,13,19,3,1,11
49,1,Schneider,230,444,181,563,2014-10-03 ,9,4,13,13,2,9,15
50,5,Marchais,125,838,726,357,2020-11-24 ,7,6,13,8,16,3,11
51,3,Lejeune,639,595,953,563,2013-10-31 ,4,9,13,6,13,14,13
52,3,Lejeune,710,872,447,945,2013-09-24 ,10,3,13,5,18,2,16
53,7,Phillips_France,887,116,924,614,2014-11-17 ,12,1,13,13,3,4,11
54,6,Leclerc_electrique,583,484,202,968,2019-06-24 ,11,2,13,13,5,6,4
55,5,Marchais,839,796,159,452,2012-04-11 ,8,5,13,3,12,3,10
56,7,Phillips_France,832,824,161,783,2015-02-14 ,13,0,13,10,11,11,14
57,2,LeGrand,329,862,259,431,2016-09-10 ,10,3,13,1,11,9,13
58,7,Phillips_France,395,165,182,252,2012-10-26 ,0,13,13,3,3,10,9
59,4,DistElectrique,976,533,787,223,2015-09-10 ,13,0,13,6,6,18,16
60,6,Leclerc_electrique,701,637,677,432,2017-03-05 ,0,13,13,8,4,15,17
61,5,Marchais,258,390,174,678,2018-01-04 ,7,6,13,18,14,10,5
62,5,Marchais,605,582,594,653,2014-07-29 ,7,6,13,17,2,9,19
63,5,Marchais,807,514,889,464,2017-10-25 ,1,12,13,8,2,5,1
64,7,Phillips_France,733,402,627,863,2020-09-04 ,11,2,13,4,1,18,12
65,1,Schneider,147,592,942,367,2018-11-17 ,13,0,13,16,12,14,14
66,5,Marchais,389,767,103,348,2016-04-23 ,12,1,13,18,19,10,10
67,2,LeGrand,141,177,245,645,2015-12-25 ,8,5,13,8,4,2,2
68,1,Schneider,163,382,234,307,2016-07-30 ,9,4,13,12,16,13,4
69,6,Leclerc_electrique,984,734,188,994,2013-12-13 ,12,1,13,12,4,10,10
70,6,Leclerc_electrique,195,323,549,454,2014-08-22 ,6,7,13,1,12,16,13
71,5,Marchais,402,612,707,973,2013-06-23 ,2,11,13,19,8,16,3
72,7,Phillips_France,448,576,136,709,2016-05-16 ,6,7,13,15,4,15,5
73,2,LeGrand,736,866,493,954,2019-02-27 ,8,5,13,17,11,10,11
74,6,Leclerc_electrique,205,639,181,692,2018-08-12 ,13,0,13,14,3,5,11
75,4,DistElectrique,293,507,135,610,2020-05-29 ,1,12,13,1,13,6,5
76,1,Schneider,947,302,813,976,2013-05-07 ,9,4,13,5,13,15,6
77,7,Phillips_France,707,847,158,202,2019-12-05 ,2,11,13,13,8,17,16
78,7,Phillips_France,562,447,672,234,2017-01-21 ,6,7,13,1,12,16,11
79,2,LeGrand,743,663,773,734,2020-09-28 ,6,7,13,16,13,18,15
80,3,Lejeune,934,110,761,530,2015-11-19 ,9,4,13,8,2,18,5
81,4,DistElectrique,410,849,302,455,2012-12-04 ,11,2,13,19,14,14,2
82,7,Phillips_France,201,649,990,400,2017-04-22 ,7,6,13,7,15,14,9
83,3,Lejeune,716,510,990,451,2015-01-31 ,7,6,13,3,14,9,7
84,2,LeGrand,522,603,713,172,2019-04-14 ,4,9,13,12,1,17,10
85,1,Schneider,735,632,936,992,2020-04-22 ,7,6,13,15,3,7,10
86,2,LeGrand,249,117,349,276,2019-11-28 ,3,10,13,1,9,4,18
87,5,Marchais,511,266,668,692,2012-01-26 ,6,7,13,7,3,19,7
88,4,DistElectrique,977,857,812,921,2016-08-29 ,12,1,13,19,15,15,5
89,5,Marchais,509,566,659,344,2019-03-11 ,8,5,13,9,14,9,18
90,5,Marchais,974,980,308,141,2014-05-06 ,2,11,13,10,16,6,8
91,5,Marchais,634,733,843,241,2013-09-28 ,12,1,13,10,2,19,1
92,7,Phillips_France,829,340,430,509,2019-12-16 ,0,13,13,8,5,5,9
93,1,Schneider,220,240,318,511,2012-12-05 ,5,8,13,1,12,18,10
94,3,Lejeune,746,609,958,959,2012-05-10 ,7,6,13,2,14,1,4
95,7,Phillips_France,975,967,205,846,2014-05-16 ,13,0,13,4,2,7,5
96,1,Schneider,412,428,706,510,2016-01-25 ,9,4,13,7,4,19,7
97,7,Phillips_France,687,541,231,247,2016-05-15 ,8,5,13,9,6,18,7
98,1,Schneider,630,983,657,681,2015-02-15 ,2,11,13,18,16,17,1
99,2,LeGrand,312,263,810,204,2013-04-02 ,0,13,13,6,8,5,4
